Sample Number (4000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperatura ([°C]),Presión ([mBar]),Altura ([m]),Altura_máxima ([m]),Apogeo (On/Off),Main_parachute (On/Off),Acelerometro_X ([m/s2]),Acelerometro_Y ([m/s2]),Acelerometro_Z ([m/s2]),Media_cuadrática (N/A),Giroscopio_X ([°/s]),Giroscopio_Y ([°/s]),Giroscopio_Z ([°/s]),Magnetómetro_X ([uT]),Magnetómetro_Y ([uT]),Magnetómetro_Z ([uT])
179,1664296478470,25.83,902.7,0.83,0.92,0.0,0.0,1.54,-0.5,9.63,9.77,0.06,0.19,-0.13,0.06,0.19,-0.13
180,1664296478724,25.84,902.7,0.83,0.92,0.0,0.0,1.54,-0.51,9.64,9.78,-0.06,-0.13,0.0,-0.06,-0.13,0.0
181,1664296479007,25.84,902.73,0.55,0.92,0.0,0.0,1.54,-0.5,9.61,9.75,0.06,-0.06,0.13,0.06,-0.06,0.13
182,1664296479266,25.84,902.71,0.73,0.92,0.0,0.0,1.54,-0.5,9.64,9.78,0.0,-0.06,0.0,0.0,-0.06,0.0
183,1664296479523,25.84,902.73,0.55,0.92,0.0,0.0,1.54,-0.51,9.64,9.78,-0.13,0.06,0.13,-0.19,-0.06,0.0
184,1664296479779,25.84,902.7,0.83,0.92,0.0,0.0,1.54,-0.51,9.61,9.75,0.06,0.13,0.06,0.13,0.13,0.13
185,1664296480029,25.85,902.69,0.92,0.92,0.0,0.0,1.53,-0.51,9.65,9.78,0.06,0.0,0.13,0.06,0.0,0.0
186,1664296480317,25.85,902.7,0.83,0.92,0.0,0.0,1.54,-0.51,9.63,9.77,0.13,-0.06,0.0,0.13,-0.06,0.0
187,1664296480573,25.84,902.73,0.55,0.92,0.0,0.0,1.54,-0.48,9.61,9.74,0.06,-0.06,0.0,0.06,0.06,-0.19
188,1664296480835,25.85,902.7,0.83,0.92,0.0,0.0,1.55,-0.5,9.63,9.77,0.0,0.13,-0.06,0.0,0.13,-0.06
189,1664296481091,25.85,902.7,0.83,0.92,0.0,0.0,1.55,-0.52,9.61,9.75,-0.06,-0.25,0.06,-0.06,-0.25,0.06
190,1664296481351,25.85,902.71,0.73,0.92,0.0,0.0,1.55,-0.51,9.62,9.76,0.06,-0.06,0.06,0.06,-0.06,0.06
191,1664296481622,25.85,902.71,0.73,0.92,0.0,0.0,1.54,-0.5,9.61,9.75,0.0,-0.19,0.0,0.06,0.06,-0.06
192,1664296481880,25.85,902.73,0.55,0.92,0.0,0.0,1.54,-0.5,9.64,9.78,0.06,-0.06,0.0,0.06,0.0,-0.13
193,1664296482139,25.86,902.71,0.73,0.92,0.0,0.0,1.54,-0.51,9.62,9.76,-0.06,0.0,0.0,-0.06,0.0,0.06
194,1664296482391,25.86,902.7,0.83,0.92,0.0,0.0,1.54,-0.51,9.63,9.77,0.0,0.13,0.06,0.0,0.13,0.06
195,1664296482651,25.86,902.72,0.64,0.92,0.0,0.0,1.55,-0.49,9.61,9.75,0.0,0.06,0.0,-0.06,0.06,-0.06
196,1664296482917,25.86,902.69,0.92,0.92,0.0,0.0,1.53,-0.53,9.61,9.75,0.0,0.06,0.06,0.0,0.06,0.06
197,1664296483176,25.86,902.73,0.55,0.92,0.0,0.0,1.55,-0.49,9.64,9.78,0.06,0.13,0.06,0.06,0.13,0.06
198,1664296483438,25.86,902.71,0.73,0.92,0.0,0.0,1.54,-0.48,9.62,9.75,-0.06,-0.06,0.0,-0.06,-0.06,0.0
199,1664296483693,25.86,902.7,0.83,0.92,0.0,0.0,1.54,-0.49,9.62,9.75,0.0,0.13,-0.19,0.0,0.13,-0.19
200,1664296483949,25.86,902.72,0.64,0.92,0.0,0.0,1.55,-0.51,9.62,9.76,0.0,0.06,0.0,0.06,0.0,-0.19
201,1664296484219,25.87,902.7,0.83,0.92,0.0,0.0,1.54,-0.51,9.59,9.73,0.06,-0.13,0.0,0.06,-0.13,0.0
202,1664296484494,25.86,902.72,0.64,0.92,0.0,0.0,1.53,-0.49,9.63,9.76,-0.06,-0.13,0.06,-0.06,-0.13,0.06
203,1664296484751,25.87,902.7,0.83,0.92,0.0,0.0,1.53,-0.49,9.63,9.76,0.06,-0.31,0.0,0.06,-0.31,0.0
204,1664296485008,25.87,902.71,0.73,0.92,0.0,0.0,1.54,-0.51,9.59,9.73,0.0,-0.13,-0.06,0.0,-0.13,-0.06
205,1664296485268,25.87,902.73,0.55,0.92,0.0,0.0,1.55,-0.51,9.6,9.74,0.06,-0.06,0.19,0.06,-0.06,0.19
206,1664296485533,25.87,902.7,0.83,0.92,0.0,0.0,1.54,-0.5,9.64,9.78,-0.06,0.0,0.0,0.06,0.13,0.0
207,1664296485788,25.87,902.7,0.83,0.92,0.0,0.0,1.55,-0.49,9.64,9.78,0.0,0.06,-0.19,0.0,0.06,-0.19
208,1664296486041,25.88,902.71,0.73,0.92,0.0,0.0,1.54,-0.5,9.6,9.74,0.06,0.0,-0.06,0.13,0.0,0.06
209,1664296486301,25.88,902.73,0.55,0.92,0.0,0.0,1.55,-0.5,9.6,9.74,-0.06,0.0,-0.06,-0.06,0.0,-0.06
210,1664296486557,25.88,902.72,0.64,0.92,0.0,0.0,1.54,-0.49,9.6,9.74,-0.06,0.06,-0.06,-0.06,-0.13,0.0
211,1664296486828,25.88,902.69,0.92,0.92,0.0,0.0,1.54,-0.51,9.62,9.76,0.0,-0.13,0.06,0.0,-0.13,0.06
212,1664296487087,25.88,902.7,0.83,0.92,0.0,0.0,1.55,-0.51,9.64,9.78,-0.06,0.0,0.0,-0.06,-0.13,0.13
213,1664296487358,25.89,902.71,0.73,0.92,0.0,0.0,1.55,-0.51,9.61,9.75,-0.06,0.06,-0.06,-0.06,0.06,-0.06
214,1664296487616,25.88,902.7,0.83,0.92,0.0,0.0,1.54,-0.51,9.61,9.75,-0.13,0.0,0.06,-0.13,0.0,0.06
215,1664296487872,25.89,902.74,0.45,0.92,0.0,0.0,1.55,-0.49,9.63,9.77,0.0,-0.13,0.0,0.0,-0.13,0.0
216,1664296488142,25.89,902.73,0.55,0.92,0.0,0.0,1.55,-0.5,9.64,9.78,0.0,0.13,-0.13,-0.06,0.06,-0.06
217,1664296488397,25.89,902.7,0.83,0.92,0.0,0.0,1.54,-0.52,9.62,9.76,0.06,0.0,-0.06,0.0,0.13,0.0
218,1664296488654,25.89,902.72,0.64,0.92,0.0,0.0,1.54,-0.51,9.61,9.75,-0.06,0.06,-0.06,-0.06,0.06,-0.06
219,1664296488933,25.89,902.72,0.64,0.92,0.0,0.0,1.56,-0.48,9.62,9.76,-0.13,-0.06,0.06,-0.13,-0.06,0.0
220,1664296489188,25.89,902.71,0.73,0.92,0.0,0.0,1.55,-0.51,9.64,9.78,0.25,-0.44,-0.13,0.25,-0.44,-0.13
221,1664296489492,25.9,902.72,0.64,0.92,0.0,0.0,1.51,-0.46,9.63,9.76,0.44,0.06,-0.19,0.44,0.06,-0.19
222,1664296489756,25.89,902.73,0.55,0.92,0.0,0.0,1.57,-0.43,9.65,9.79,-2.56,-0.25,-0.06,-2.56,-0.25,-0.06
223,1664296490015,25.89,902.7,0.83,0.92,0.0,0.0,1.72,-0.77,9.58,9.76,4.37,-0.19,-1.12,4.37,-0.19,-1.12
224,1664296490270,25.9,902.71,0.73,0.92,0.0,0.0,1.57,-0.22,9.6,9.73,0.81,-0.13,-0.31,0.81,-0.13,-0.31
225,1664296490531,25.9,902.69,0.92,0.92,0.0,0.0,1.52,-0.59,9.66,9.8,-2.87,0.0,0.44,-2.87,0.0,0.44
226,1664296490800,25.9,902.7,0.83,0.92,0.0,0.0,1.51,-0.63,9.65,9.79,2.19,-0.25,-0.5,2.19,-0.25,-0.5
227,1664296491053,25.9,902.72,0.64,0.92,0.0,0.0,1.53,-0.37,9.62,9.75,0.13,0.19,0.19,0.06,-0.06,0.25
228,1664296491311,25.91,902.72,0.64,0.92,0.0,0.0,1.54,-0.61,9.63,9.77,-1.12,0.13,0.44,-1.12,0.13,0.44
229,1664296491565,25.91,902.71,0.73,0.92,0.0,0.0,1.55,-0.51,9.6,9.74,1.62,0.06,-0.06,1.62,0.06,0.0
230,1664296491833,25.91,902.7,0.83,0.92,0.0,0.0,1.53,-0.43,9.63,9.76,-0.37,0.13,0.25,-0.37,0.13,0.25
231,1664296492100,25.91,902.7,0.83,0.92,0.0,0.0,1.54,-0.59,9.63,9.77,0.37,0.06,0.31,0.37,0.06,0.31
232,1664296492357,25.91,902.71,0.73,0.92,0.0,0.0,1.54,-0.44,9.63,9.76,0.62,-0.06,0.06,0.62,-0.06,0.06
233,1664296492616,25.91,902.71,0.73,0.92,0.0,0.0,1.54,-0.52,9.6,9.74,-0.37,-0.06,0.19,-0.37,-0.06,0.19
234,1664296492868,25.91,902.69,0.92,0.92,0.0,0.0,1.54,-0.5,9.59,9.73,0.75,0.0,0.0,0.75,0.0,0.0
235,1664296493141,25.91,902.67,1.11,1.11,0.0,0.0,1.55,-0.47,9.64,9.78,-0.06,0.06,0.06,-0.06,0.06,0.06
236,1664296493412,25.92,902.71,0.73,1.11,0.0,0.0,1.55,-0.55,9.65,9.79,0.31,0.0,-0.19,0.31,0.0,-0.19
237,1664296493673,25.92,902.69,0.92,1.11,0.0,0.0,1.54,-0.48,9.58,9.71,0.37,-0.13,-0.31,0.31,-0.13,-0.25
238,1664296493932,25.92,902.7,0.83,1.11,0.0,0.0,1.54,-0.52,9.6,9.74,0.0,-0.13,-0.06,0.0,-0.13,-0.06
239,1664296494189,25.92,902.7,0.83,1.11,0.0,0.0,1.55,-0.5,9.63,9.77,0.5,0.0,-0.25,0.5,0.0,-0.25
240,1664296494443,25.92,902.72,0.64,1.11,0.0,0.0,1.54,-0.52,9.64,9.78,0.06,0.06,-0.06,0.06,0.06,-0.06
241,1664296494718,25.92,902.72,0.64,1.11,0.0,0.0,1.54,-0.54,9.63,9.77,0.13,-0.13,-0.13,0.13,0.06,0.0
242,1664296494977,25.92,902.7,0.83,1.11,0.0,0.0,1.53,-0.48,9.6,9.73,-0.13,0.13,0.19,-0.31,-0.25,0.0
243,1664296495234,25.93,902.71,0.73,1.11,0.0,0.0,1.54,-0.51,9.63,9.77,-0.19,-0.19,0.13,-0.19,0.13,0.06
244,1664296495493,25.93,902.73,0.55,1.11,0.0,0.0,1.54,-0.49,9.62,9.75,-0.06,0.06,0.06,-0.06,0.06,0.06
245,1664296495750,25.93,902.69,0.92,1.11,0.0,0.0,1.54,-0.5,9.62,9.76,-0.19,0.13,0.06,-0.19,0.13,0.06
246,1664296496034,25.93,902.7,0.83,1.11,0.0,0.0,1.54,-0.51,9.64,9.78,0.19,0.0,0.0,0.19,0.0,0.0
247,1664296496287,25.93,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.65,9.78,-0.06,0.0,0.13,-0.06,0.0,0.13
248,1664296496541,25.93,902.71,0.73,1.11,0.0,0.0,1.54,-0.51,9.62,9.76,0.19,-0.06,0.0,0.19,-0.06,0.0
249,1664296496802,25.94,902.7,0.83,1.11,0.0,0.0,1.54,-0.52,9.61,9.75,0.13,-0.13,-0.13,0.13,-0.13,-0.13
250,1664296497066,25.94,902.72,0.64,1.11,0.0,0.0,1.54,-0.51,9.64,9.78,-0.06,-0.13,-0.06,-0.06,-0.06,-0.06
251,1664296497335,25.94,902.69,0.92,1.11,0.0,0.0,1.53,-0.52,9.63,9.76,0.0,-0.19,-0.06,0.0,-0.19,-0.06
252,1664296497606,25.94,902.72,0.64,1.11,0.0,0.0,1.55,-0.51,9.63,9.77,-0.06,0.0,-0.06,-0.06,0.0,-0.06
253,1664296497867,25.94,902.7,0.83,1.11,0.0,0.0,1.54,-0.51,9.61,9.75,0.06,-0.06,0.06,0.06,-0.06,0.06
254,1664296498126,25.94,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.65,9.78,-0.06,-0.19,0.0,-0.06,-0.19,0.0
255,1664296498378,25.94,902.69,0.92,1.11,0.0,0.0,1.54,-0.5,9.61,9.75,0.0,0.0,0.0,-0.06,0.06,0.19
256,1664296498642,25.95,902.72,0.64,1.11,0.0,0.0,1.54,-0.51,9.62,9.76,0.0,0.0,0.06,0.0,0.0,0.06
257,1664296498892,25.95,902.72,0.64,1.11,0.0,0.0,1.55,-0.51,9.59,9.73,0.06,0.13,0.0,0.06,0.13,0.0
258,1664296499147,25.95,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.63,9.77,0.06,0.0,0.0,0.06,0.0,0.0
259,1664296499404,25.95,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.64,9.78,0.13,0.19,-0.13,0.13,0.19,-0.13
260,1664296499656,25.95,902.72,0.64,1.11,0.0,0.0,1.55,-0.51,9.62,9.76,0.0,0.0,0.0,0.0,0.0,0.0
261,1664296499921,25.95,902.7,0.83,1.11,0.0,0.0,1.54,-0.5,9.65,9.78,0.13,0.06,0.0,0.13,0.06,0.0
262,1664296500183,25.95,902.7,0.83,1.11,0.0,0.0,1.55,-0.49,9.61,9.75,-0.06,0.0,-0.06,-0.06,0.0,-0.0
263,1664296500439,25.96,902.7,0.83,1.11,0.0,0.0,1.54,-0.51,9.61,9.75,-0.06,-0.06,0.06,-0.06,-0.06,0.06
264,1664296500699,25.96,902.71,0.73,1.11,0.0,0.0,1.54,-0.51,9.63,9.77,0.0,-0.06,-0.13,0.0,-0.06,-0.13
265,1664296500957,25.96,902.73,0.55,1.11,0.0,0.0,1.54,-0.51,9.63,9.77,0.06,-0.13,-0.06,0.06,0.13,0.0
266,1664296501226,25.96,902.72,0.64,1.11,0.0,0.0,1.55,-0.5,9.62,9.76,0.06,0.13,-0.06,0.06,0.13,-0.06
267,1664296501487,25.96,902.7,0.83,1.11,0.0,0.0,1.54,-0.51,9.61,9.75,0.06,0.06,-0.06,0.06,0.06,-0.06
268,1664296501763,25.96,902.68,1.01,1.11,0.0,0.0,1.53,-0.5,9.6,9.73,0.06,0.13,-0.06,0.06,0.13,-0.06
269,1664296502021,25.96,902.67,1.11,1.11,0.0,0.0,1.54,-0.51,9.63,9.77,-0.06,0.06,0.19,-0.06,0.06,0.19
270,1664296502275,25.96,902.7,0.83,1.11,0.0,0.0,1.54,-0.51,9.62,9.76,0.13,0.0,0.06,0.06,-0.06,0.06
271,1664296502543,25.97,902.7,0.83,1.11,0.0,0.0,1.54,-0.52,9.65,9.79,-0.06,0.06,-0.13,-0.06,0.06,-0.13
272,1664296502800,25.97,902.67,1.11,1.11,0.0,0.0,1.54,-0.49,9.6,9.74,-0.06,0.06,0.06,-0.06,0.06,0.06
273,1664296503061,25.97,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.62,9.76,0.0,-0.06,0.06,0.06,-0.06,-0.19
274,1664296503317,25.97,902.7,0.83,1.11,0.0,0.0,1.54,-0.53,9.66,9.8,0.0,-0.06,0.06,0.0,-0.06,0.06
275,1664296503573,25.97,902.7,0.83,1.11,0.0,0.0,1.54,-0.53,9.64,9.78,0.0,0.0,0.06,0.0,0.0,0.06
276,1664296503836,25.97,902.71,0.73,1.11,0.0,0.0,1.55,-0.52,9.61,9.75,0.0,0.0,0.0,0.0,0.0,0.0
277,1664296504095,25.98,902.68,1.01,1.11,0.0,0.0,1.55,-0.51,9.62,9.76,-0.06,0.06,-0.13,-0.06,0.06,-0.13
278,1664296504355,25.98,902.7,0.83,1.11,0.0,0.0,1.53,-0.51,9.61,9.74,0.0,0.0,-0.25,-0.06,-0.19,-0.06
279,1664296504623,25.98,902.71,0.73,1.11,0.0,0.0,1.54,-0.52,9.63,9.77,-0.06,0.0,0.06,-0.06,0.0,0.06
280,1664296504874,25.98,902.69,0.92,1.11,0.0,0.0,1.56,-0.5,9.6,9.74,0.06,0.06,0.0,0.06,0.06,0.0
281,1664296505158,25.98,902.69,0.92,1.11,0.0,0.0,1.54,-0.5,9.62,9.76,0.06,-0.25,0.0,0.06,-0.25,0.0
282,1664296505411,25.98,902.69,0.92,1.11,0.0,0.0,1.55,-0.51,9.65,9.79,0.06,-0.06,0.0,0.06,0.0,0.06
283,1664296505667,25.99,902.68,1.01,1.11,0.0,0.0,1.55,-0.52,9.61,9.75,0.06,-0.19,-0.06,0.06,-0.19,-0.06
284,1664296505921,25.99,902.71,0.73,1.11,0.0,0.0,1.54,-0.51,9.63,9.77,-0.06,0.06,0.06,0.0,0.06,0.13
285,1664296506200,25.99,902.71,0.73,1.11,0.0,0.0,1.54,-0.52,9.61,9.75,-0.13,0.06,0.0,-0.13,0.06,0.0
286,1664296506468,25.99,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.62,9.76,-0.06,0.13,-0.13,0.0,0.13,0.0
287,1664296506727,25.99,902.69,0.92,1.11,0.0,0.0,1.54,-0.5,9.64,9.78,0.0,-0.13,0.06,-0.13,-0.13,-0.06
288,1664296506982,25.99,902.71,0.73,1.11,0.0,0.0,1.54,-0.51,9.63,9.77,0.0,0.06,0.0,0.0,0.06,0.0
289,1664296507239,26.0,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.61,9.75,0.0,-0.06,0.0,0.19,0.06,-0.13
290,1664296507500,26.0,902.7,0.83,1.11,0.0,0.0,1.54,-0.52,9.6,9.74,-0.13,-0.06,-0.06,-0.13,0.06,0.0
291,1664296507771,26.0,902.7,0.83,1.11,0.0,0.0,1.54,-0.52,9.62,9.76,0.13,0.06,-0.06,0.13,0.06,-0.06
292,1664296508031,26.0,902.71,0.73,1.11,0.0,0.0,1.54,-0.5,9.65,9.78,-0.06,-0.13,0.0,-0.06,-0.13,0.0
293,1664296508288,26.0,902.69,0.92,1.11,0.0,0.0,1.55,-0.52,9.61,9.75,0.0,0.0,-0.13,0.0,0.0,-0.13
294,1664296508546,26.0,902.7,0.83,1.11,0.0,0.0,1.53,-0.49,9.63,9.76,0.0,-0.19,0.13,0.0,-0.19,0.13
295,1664296508812,26.0,902.7,0.83,1.11,0.0,0.0,1.53,-0.52,9.6,9.74,0.06,0.0,-0.06,0.0,0.06,-0.19
296,1664296509114,26.0,902.67,1.11,1.11,0.0,0.0,1.53,-0.49,9.62,9.75,0.0,-0.31,-0.06,0.0,-0.31,-0.06
297,1664296509369,26.0,902.69,0.92,1.11,0.0,0.0,1.38,-0.92,8.69,8.85,-0.69,0.75,-1.69,-0.69,0.75,-1.69
298,1664296509628,26.01,902.68,1.01,1.11,0.0,0.0,1.29,-0.21,9.65,9.74,0.56,1.69,-1.56,0.56,1.69,-1.56
299,1664296509884,26.01,902.69,0.92,1.11,0.0,0.0,1.57,-0.59,9.42,9.57,-1.19,-0.19,-1.19,-0.94,0.88,-2.0
300,1664296510147,26.01,902.7,0.83,1.11,0.0,0.0,1.1,-0.53,9.48,9.56,0.13,0.81,-1.69,-0.19,0.13,-2.31
301,1664296510451,26.02,902.71,0.73,1.11,0.0,0.0,1.52,-0.13,9.61,9.73,-0.81,0.37,-1.87,-0.81,0.37,-1.87
302,1664296510707,26.01,902.68,1.01,1.11,0.0,0.0,1.27,-0.29,9.5,9.59,3.12,0.56,-1.37,3.12,0.56,-1.37
303,1664296510968,26.02,902.71,0.73,1.11,0.0,0.0,1.49,-0.41,9.57,9.69,-1.31,0.44,0.25,-1.25,0.37,0.31
304,1664296511225,26.02,902.68,1.01,1.11,0.0,0.0,1.55,-0.73,9.63,9.78,-0.81,0.31,0.31,-0.81,0.31,0.31
305,1664296511482,26.02,902.71,0.73,1.11,0.0,0.0,1.58,-0.55,9.64,9.78,1.75,0.06,-0.06,1.75,0.06,-0.06
306,1664296511752,26.02,902.7,0.83,1.11,0.0,0.0,1.6,-0.59,9.66,9.81,-1.37,-0.31,0.5,-1.37,-0.31,0.5
307,1664296512008,26.02,902.69,0.92,1.11,0.0,0.0,1.53,-0.68,9.71,9.85,-0.56,-0.81,0.94,-1.06,-0.37,0.88
308,1664296512268,26.03,902.7,0.83,1.11,0.0,0.0,1.61,-1.08,9.65,9.84,2.0,-0.81,0.56,2.0,-0.81,0.56
309,1664296512525,26.03,902.7,0.83,1.11,0.0,0.0,1.52,-0.23,9.66,9.78,2.56,-0.44,-0.19,2.56,-0.44,-0.19
310,1664296512785,26.03,902.69,0.92,1.11,0.0,0.0,1.48,-0.49,9.69,9.81,-3.94,-0.13,0.88,-3.94,-0.13,0.88
311,1664296513057,26.03,902.71,0.73,1.11,0.0,0.0,1.14,-0.86,9.6,9.71,1.87,1.19,0.37,1.87,1.19,0.37
312,1664296513316,26.03,902.69,0.92,1.11,0.0,0.0,1.57,-0.59,9.61,9.76,-0.06,0.37,1.0,-0.06,0.37,1.0
313,1664296513570,26.03,902.68,1.01,1.11,0.0,0.0,1.59,-0.47,9.63,9.77,0.19,0.19,0.25,0.19,0.19,0.25
314,1664296513825,26.04,902.7,0.83,1.11,0.0,0.0,1.6,-0.47,9.62,9.76,0.44,0.25,0.0,0.44,0.25,0.0
315,1664296514083,26.04,902.7,0.83,1.11,0.0,0.0,1.57,-0.57,9.64,9.78,-0.37,0.06,0.31,-0.44,0.13,0.13
316,1664296514356,26.04,902.69,0.92,1.11,0.0,0.0,1.54,-0.57,9.67,9.81,0.13,-0.19,0.0,0.25,-0.19,-0.19
317,1664296514615,26.04,902.68,1.01,1.11,0.0,0.0,1.51,-0.52,9.61,9.74,0.31,0.06,0.25,0.19,0.31,0.25
318,1664296514890,26.04,902.69,0.92,1.11,0.0,0.0,1.66,-0.42,9.79,9.94,0.19,0.37,-0.5,0.19,0.37,-0.5
319,1664296515152,26.04,902.68,1.01,1.11,0.0,0.0,1.54,-0.49,9.66,9.79,-0.06,-0.25,0.88,-0.06,-0.25,0.88
320,1664296515412,26.05,902.7,0.83,1.11,0.0,0.0,1.6,-0.57,9.68,9.83,0.06,-0.19,0.81,0.06,-0.19,0.81
321,1664296515683,26.05,902.7,0.83,1.11,0.0,0.0,1.82,-0.05,9.75,9.92,-0.19,0.13,0.62,-0.19,0.13,0.62
322,1664296515937,26.05,902.69,0.92,1.11,0.0,0.0,1.51,-0.65,9.5,9.64,0.44,-1.25,0.0,-0.19,-2.06,0.69
323,1664296516204,26.05,902.67,1.11,1.11,0.0,0.0,1.37,-0.42,9.69,9.8,0.06,-0.5,-0.06,-0.31,-0.62,0.19
324,1664296516460,26.05,902.7,0.83,1.11,0.0,0.0,1.45,-0.63,9.63,9.76,2.56,-0.13,-0.25,2.62,0.13,-0.13
325,1664296516724,26.05,902.7,0.83,1.11,0.0,0.0,2.2,0.25,10.14,10.38,-0.88,0.56,0.13,-0.13,-0.75,0.13
326,1664296516993,26.05,902.69,0.92,1.11,0.0,0.0,1.59,-0.44,9.73,9.87,-0.75,-0.06,0.62,-0.31,0.06,0.5
327,1664296517254,26.06,902.7,0.83,1.11,0.0,0.0,1.73,-0.45,9.58,9.75,-0.75,-0.25,-0.5,-0.88,-0.37,-0.56
328,1664296517530,26.06,902.66,1.2,1.2,0.0,0.0,1.81,-0.39,9.53,9.71,0.88,-0.81,-0.62,0.88,-0.81,-0.62
329,1664296517789,26.06,902.69,0.92,1.2,0.0,0.0,1.38,-0.45,9.68,9.79,-0.56,-0.19,-0.56,-0.56,-0.19,-0.56
330,1664296518048,26.06,902.68,1.01,1.2,0.0,0.0,1.49,-0.43,9.63,9.75,0.0,0.19,-0.69,0.0,0.19,-0.69
331,1664296518324,26.06,902.7,0.83,1.2,0.0,0.0,1.52,-0.52,9.63,9.76,-0.13,0.06,-0.69,-0.13,0.06,-0.69
332,1664296518586,26.07,902.69,0.92,1.2,0.0,0.0,1.48,-0.39,9.65,9.77,-0.31,-0.19,-0.5,-0.19,-0.13,-0.56
333,1664296518851,26.07,902.69,0.92,1.2,0.0,0.0,1.51,-0.39,9.59,9.72,-2.69,0.37,-0.25,-2.69,0.37,-0.25
334,1664296519127,26.07,902.66,1.2,1.2,0.0,0.0,1.57,-0.65,9.66,9.81,-0.31,0.0,-0.44,-0.31,0.0,-0.44
335,1664296519398,26.07,902.68,1.01,1.2,0.0,0.0,1.55,-0.44,9.62,9.75,0.88,0.0,-0.5,0.88,0.0,-0.5
336,1664296519655,26.07,902.7,0.83,1.2,0.0,0.0,1.54,-0.57,9.64,9.78,-1.5,-0.06,0.25,-1.5,0.13,0.31
337,1664296519914,26.07,902.7,0.83,1.2,0.0,0.0,1.53,-0.54,9.62,9.76,0.94,0.06,-0.19,0.94,0.06,-0.19
338,1664296520177,26.07,902.68,1.01,1.2,0.0,0.0,0.52,-0.32,9.55,9.57,-3.87,-4.12,1.31,-3.87,-4.12,1.31
339,1664296520435,26.08,902.7,0.83,1.2,0.0,0.0,1.0,-0.75,9.85,9.93,0.5,-1.5,0.37,0.5,-1.5,0.37
340,1664296520707,26.08,902.68,1.01,1.2,0.0,0.0,1.19,-0.67,9.58,9.68,-1.37,-0.44,0.81,-1.37,-0.44,0.81
341,1664296520973,26.08,902.68,1.01,1.2,0.0,0.0,1.35,-0.8,9.77,9.9,1.69,-0.88,-1.5,2.56,-1.0,-1.5
342,1664296521237,26.08,902.7,0.83,1.2,0.0,0.0,1.5,-0.3,9.72,9.84,1.0,-0.44,-1.25,1.0,-0.44,-1.25
343,1664296521499,26.08,902.72,0.64,1.2,0.0,0.0,1.51,-0.53,9.64,9.77,-3.56,0.13,-0.25,-3.56,0.13,-0.25
344,1664296521770,26.09,902.68,1.01,1.2,0.0,0.0,1.55,-0.6,9.63,9.77,1.69,-0.06,-1.06,1.69,-0.06,-1.06
345,1664296522041,26.09,902.68,1.01,1.2,0.0,0.0,1.48,-0.47,9.67,9.79,-0.19,0.06,0.06,-0.19,0.06,0.06
346,1664296522299,26.09,902.68,1.01,1.2,0.0,0.0,1.48,-0.56,9.6,9.73,-1.0,0.06,0.56,-1.0,0.06,0.56
347,1664296522554,26.09,902.66,1.2,1.2,0.0,0.0,1.25,-0.78,9.8,9.91,1.5,0.06,0.62,1.5,0.06,0.62
348,1664296522811,26.09,902.69,0.92,1.2,0.0,0.0,1.5,-0.17,9.68,9.8,-0.19,0.31,0.81,-0.19,0.31,0.81
349,1664296523070,26.09,902.7,0.83,1.2,0.0,0.0,1.53,-0.57,9.6,9.74,-2.12,0.0,0.81,-1.87,0.0,0.75
350,1664296523341,26.1,902.71,0.73,1.2,0.0,0.0,1.56,-0.41,9.61,9.74,1.19,0.31,0.13,1.19,0.31,0.13
351,1664296523617,26.1,902.68,1.01,1.2,0.0,0.0,1.55,-0.5,9.65,9.79,-1.12,0.25,0.56,-1.12,0.25,0.56
352,1664296523875,26.1,902.71,0.73,1.2,0.0,0.0,1.54,-0.57,9.65,9.79,0.75,0.19,0.13,0.75,0.19,0.13
353,1664296524134,26.1,902.69,0.92,1.2,0.0,0.0,1.54,-0.49,9.61,9.74,-0.62,0.13,0.31,-0.81,0.19,0.25
354,1664296524398,26.1,902.68,1.01,1.2,0.0,0.0,1.53,-0.6,9.6,9.74,-0.13,-0.06,0.0,-0.13,-0.06,0.0
355,1664296524670,26.1,902.69,0.92,1.2,0.0,0.0,1.55,-0.51,9.63,9.77,-0.19,0.13,-0.25,-0.31,-0.06,-0.19
356,1664296524928,26.11,902.69,0.92,1.2,0.0,0.0,1.43,-0.45,9.77,9.88,0.44,-0.31,0.19,0.44,-0.31,0.19
357,1664296525187,26.11,902.68,1.01,1.2,0.0,0.0,1.41,-0.59,9.62,9.74,-0.37,0.06,0.44,-0.37,0.06,0.44
358,1664296525445,26.11,902.7,0.83,1.2,0.0,0.0,1.53,-0.5,9.65,9.78,-0.13,0.25,0.0,0.06,0.06,0.06
359,1664296525702,26.11,902.71,0.73,1.2,0.0,0.0,1.55,-0.44,9.62,9.75,-0.06,0.19,0.0,-0.06,0.19,0.0
360,1664296525988,26.11,902.7,0.83,1.2,0.0,0.0,1.55,-0.56,9.63,9.77,-0.44,0.06,-0.06,-0.44,0.06,-0.06
