Sample Number (4000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperatura ([°C]),Presión ([mBar]),Altura ([m]),Altura_máxima ([m]),Apogeo (On/Off),Main_parachute (On/Off),Acelerometro_X ([m/s2]),Acelerometro_Y ([m/s2]),Acelerometro_Z ([m/s2]),Media_cuadrática (N/A),Giroscopio_X ([°/s]),Giroscopio_Y ([°/s]),Giroscopio_Z ([°/s]),Magnetómetro_X ([uT]),Magnetómetro_Y ([uT]),Magnetómetro_Z ([uT])
938,1664298073380,29.58,887.41,139.42,146.34,0.0,0.0,1.27,0.22,8.95,9.04,1.37,0.88,0.69,2.19,2.25,-0.56
939,1664298073661,29.58,887.43,139.23,146.34,0.0,0.0,1.96,-0.03,7.77,8.01,-0.62,-1.0,-0.56,-0.62,-1.0,-0.56
940,1664298074937,29.57,887.46,138.95,146.34,1.0,0.0,0.77,0.81,10.0,10.06,2.75,-2.62,1.75,1.81,2.19,0.25
941,1664298075218,29.54,887.54,138.19,146.34,1.0,0.0,1.35,-1.64,9.1,9.34,0.56,1.75,-2.12,0.56,1.75,-2.12
942,1664298075501,29.55,887.55,138.1,146.34,1.0,0.0,2.32,1.14,9.41,9.76,2.69,1.44,-3.06,2.69,1.44,-3.06
943,1664298075785,29.56,887.61,137.53,146.34,1.0,0.0,1.46,0.81,7.98,8.15,-0.25,-0.37,-0.69,-0.25,-0.37,-0.69
944,1664298076062,29.56,887.62,137.43,146.34,1.0,0.0,3.28,-0.22,9.33,9.89,3.0,-1.81,-3.62,3.0,-1.81,-3.62
945,1664298076354,29.56,887.63,137.34,146.34,1.0,0.0,2.6,-0.58,10.52,10.85,3.5,-2.06,-0.88,3.5,-2.06,-0.88
946,1664298076629,29.56,887.62,137.43,146.34,1.0,0.0,1.12,0.42,9.93,10.0,-0.94,2.19,-0.62,3.0,-0.37,1.19
947,1664298076908,29.56,887.64,137.24,146.34,1.0,0.0,2.82,-0.18,10.29,10.67,-1.37,1.31,1.62,-1.37,1.31,1.62
948,1664298077183,29.56,887.65,137.15,146.34,1.0,0.0,1.97,0.43,10.81,11.0,-1.19,2.31,-1.06,-1.19,2.31,-1.06
949,1664298077477,29.56,887.67,136.96,146.34,1.0,0.0,1.18,0.5,12.5,12.57,4.75,-1.37,0.88,-1.87,1.0,-0.75
950,1664298077762,29.56,887.69,136.77,146.34,1.0,0.0,1.6,-0.55,8.46,8.63,-0.69,0.19,1.62,-0.69,0.19,1.62
951,1664298078041,29.56,887.75,136.2,146.34,1.0,0.0,2.4,-0.33,10.14,10.43,0.44,0.56,-2.44,-2.75,2.19,3.81
952,1664298078318,29.56,887.74,136.3,146.34,1.0,0.0,0.36,-0.23,6.78,6.79,-1.81,2.44,-0.56,-1.81,2.44,-0.56
953,1664298078595,29.56,887.77,136.01,146.34,1.0,0.0,0.31,0.39,8.63,8.64,0.5,-0.44,-2.0,0.5,-0.44,-2.0
954,1664298078873,29.55,887.74,136.3,146.34,1.0,0.0,2.3,-0.79,10.87,11.14,3.06,1.81,0.31,-1.75,0.94,1.0
955,1664298079162,29.55,887.81,135.63,146.34,1.0,0.0,1.02,1.01,10.18,10.28,1.62,-2.12,-1.44,1.62,-2.12,-1.44
956,1664298079431,29.55,887.84,135.35,146.34,1.0,0.0,1.94,0.47,9.07,9.29,-1.75,2.56,0.62,-1.75,2.56,0.62
957,1664298079709,29.55,887.87,135.06,146.34,1.0,0.0,0.7,-0.05,7.46,7.49,2.31,0.81,-2.44,2.31,0.81,-2.44
958,1664298079982,29.55,887.87,135.06,146.34,1.0,0.0,-0.12,0.73,7.09,7.13,-4.62,-0.5,3.56,0.19,-3.62,-3.69
959,1664298080567,29.55,887.94,134.4,146.34,1.0,0.0,2.93,-1.37,10.05,10.56,0.0,-2.25,-1.94,0.0,-2.25,-1.94
960,1664298080843,29.55,887.95,134.31,146.34,1.0,0.0,1.76,0.15,10.61,10.76,2.19,0.37,-0.88,2.19,0.37,-0.88
961,1664298081120,29.55,887.94,134.4,146.34,1.0,0.0,1.14,0.14,8.25,8.33,-4.69,-0.75,-0.31,-4.69,-0.75,-0.31
962,1664298081393,29.55,887.97,134.12,146.34,1.0,0.0,1.69,0.0,9.36,9.51,-1.81,0.62,0.62,-1.81,0.62,0.62
963,1664298081688,29.55,888.0,133.83,146.34,1.0,0.0,2.25,0.11,10.36,10.6,3.56,-1.62,-1.44,3.56,-1.62,-1.44
964,1664298081965,29.55,888.02,133.64,146.34,1.0,0.0,2.1,0.49,10.34,10.56,1.31,0.0,-2.56,1.31,0.0,-2.56
965,1664298082250,29.55,888.07,133.17,146.34,1.0,0.0,1.33,0.03,9.06,9.16,0.0,1.75,1.62,0.0,1.75,1.62
966,1664298082532,29.55,888.05,133.36,146.34,1.0,0.0,2.78,-0.19,10.69,11.05,0.69,-0.88,-3.37,0.69,-0.88,-3.37
967,1664298082817,29.55,888.07,133.17,146.34,1.0,0.0,2.13,-0.55,9.43,9.68,3.87,-0.75,-0.19,3.87,-0.75,-0.19
968,1664298083098,29.55,888.12,132.7,146.34,1.0,0.0,0.58,0.4,9.32,9.35,3.25,-0.13,1.0,-1.31,-4.5,-0.13
969,1664298083373,29.55,888.11,132.79,146.34,1.0,0.0,0.92,0.82,8.84,8.93,-3.06,1.31,0.69,-3.06,1.31,0.69
970,1664298083649,29.55,888.19,132.03,146.34,1.0,0.0,1.59,-0.22,9.96,10.09,-2.31,-0.44,0.25,-2.31,-0.44,0.25
971,1664298083928,29.55,888.21,131.84,146.34,1.0,0.0,1.0,0.9,9.51,9.6,-1.06,3.75,-1.25,-1.06,3.75,-1.25
972,1664298084218,29.55,888.23,131.66,146.34,1.0,0.0,1.01,0.11,9.53,9.58,-0.25,3.19,-0.5,-0.25,3.19,-0.5
973,1664298084501,29.54,888.26,131.37,146.34,1.0,0.0,3.87,-0.28,10.34,11.04,2.75,-0.62,-3.19,2.75,-0.62,-3.19
974,1664298084781,29.54,888.3,130.99,146.34,1.0,0.0,2.03,-0.41,9.8,10.02,-2.31,-3.19,-1.62,-2.31,-3.19,-1.62
975,1664298085084,29.54,888.35,130.52,146.34,1.0,0.0,0.64,1.14,9.63,9.72,0.88,0.56,-2.5,-1.81,1.25,2.62
976,1664298085364,29.54,888.39,130.14,146.34,1.0,0.0,2.51,1.13,10.27,10.63,0.25,-2.06,-1.56,0.25,-2.06,-1.56
977,1664298085653,29.54,888.38,130.23,146.34,1.0,0.0,0.76,-0.59,7.29,7.35,-1.37,0.25,-0.37,-1.37,0.25,-0.37
978,1664298085937,29.54,888.46,129.48,146.34,1.0,0.0,0.87,-0.07,10.39,10.43,2.62,-2.06,-1.44,0.62,-3.12,-0.06
979,1664298086213,29.54,888.52,128.91,146.34,1.0,0.0,1.29,-0.71,8.41,8.54,-0.81,1.62,-0.44,-0.81,1.62,-0.44
980,1664298086488,29.54,888.53,128.81,146.34,1.0,0.0,-0.64,0.11,7.04,7.07,-3.37,1.37,3.37,-3.37,1.37,3.37
981,1664298086793,29.54,888.58,128.34,146.34,1.0,0.0,0.97,1.09,10.59,10.69,4.06,0.31,-2.44,4.06,0.31,-2.44
982,1664298087068,29.54,888.62,127.96,146.34,1.0,0.0,1.57,0.29,9.31,9.45,0.94,-2.69,-0.75,0.94,-2.69,-0.75
983,1664298087346,29.54,888.65,127.68,146.34,1.0,0.0,-0.9,0.39,8.46,8.52,-3.0,-2.56,1.0,-3.0,-2.56,1.0
984,1664298087623,29.54,888.68,127.39,146.34,1.0,0.0,2.37,0.17,11.61,11.85,1.94,2.19,-0.25,-2.81,5.25,0.13
985,1664298087902,29.54,888.72,127.02,146.34,1.0,0.0,0.54,1.03,9.82,9.89,-1.0,-0.62,-0.81,-1.0,-0.62,-0.81
986,1664298088193,29.54,888.78,126.45,146.34,1.0,0.0,3.4,-0.75,10.0,10.59,2.0,1.12,-0.31,2.0,1.12,-0.31
987,1664298088473,29.54,888.81,126.16,146.34,1.0,0.0,-0.3,0.87,9.03,9.08,-1.0,-5.94,-1.5,-1.0,-5.94,-1.5
988,1664298088759,29.54,888.84,125.88,146.34,1.0,0.0,2.85,-1.24,10.05,10.52,-3.12,-0.06,-2.06,-3.12,-0.06,-2.06
989,1664298089042,29.54,888.89,125.41,146.34,1.0,0.0,2.45,-0.01,11.77,12.02,2.12,-1.31,-1.94,-0.94,0.0,0.56
990,1664298089368,29.53,888.94,124.93,146.34,1.0,0.0,0.23,-0.15,7.56,7.56,2.56,0.0,0.19,2.56,0.0,0.19
991,1664298089654,29.53,888.98,124.56,146.34,1.0,0.0,0.16,0.01,6.66,6.66,-3.25,-2.0,1.56,-3.25,-2.0,1.56
992,1664298089931,29.53,888.96,124.74,146.34,1.0,0.0,-0.19,1.13,8.24,8.32,-1.56,3.06,1.75,-1.56,3.06,1.75
993,1664298090211,29.54,889.03,124.08,146.34,1.0,0.0,-0.26,-0.03,7.91,7.91,-4.62,-0.88,-0.19,-1.25,-1.0,2.06
994,1664298090488,29.54,889.1,123.42,146.34,1.0,0.0,1.37,-1.66,9.39,9.63,2.87,-3.87,-1.69,4.19,-4.37,1.56
995,1664298090777,29.54,889.13,123.14,146.34,1.0,0.0,3.28,-0.11,8.54,9.15,-1.12,2.75,-1.94,-1.12,2.75,-1.94
996,1664298091053,29.54,889.17,122.76,146.34,1.0,0.0,0.25,0.28,9.14,9.15,-2.81,2.25,0.25,-2.81,2.25,0.25
997,1664298091331,29.54,889.2,122.47,146.34,1.0,0.0,1.74,0.26,9.25,9.42,-1.31,-1.31,0.88,-1.31,-1.31,0.88
998,1664298091623,29.54,889.24,122.1,146.34,1.0,0.0,3.85,-1.14,8.63,9.52,1.94,0.69,-0.88,1.94,0.69,-0.88
999,1664298091910,29.54,889.28,121.72,146.34,1.0,0.0,1.8,0.23,9.7,9.87,1.37,1.37,-2.81,1.37,1.37,-2.81
1000,1664298092192,29.54,889.3,121.53,146.34,1.0,0.0,2.47,-0.64,10.13,10.45,-2.94,3.31,0.37,-2.94,3.31,0.37
1001,1664298092471,29.54,889.33,121.24,146.34,1.0,0.0,-0.22,-0.17,6.73,6.74,-0.69,4.81,0.88,4.06,-0.25,-1.75
1002,1664298092748,29.54,889.37,120.87,146.34,1.0,0.0,-0.14,1.24,9.8,9.88,-3.0,5.81,0.13,-3.0,5.81,0.13
1003,1664298093026,29.54,889.46,120.01,146.34,1.0,0.0,1.06,-0.75,8.83,8.92,4.12,1.94,-4.56,4.12,1.94,-4.56
1004,1664298093314,29.55,889.48,119.83,146.34,1.0,0.0,1.24,0.17,8.66,8.75,-2.87,-1.81,1.62,-2.94,-2.56,0.25
1005,1664298093590,29.54,889.46,120.01,146.34,1.0,0.0,0.83,-0.17,8.75,8.79,1.25,0.94,1.56,2.31,-2.5,0.31
1006,1664298093874,29.54,889.51,119.54,146.34,1.0,0.0,1.33,-0.42,6.81,6.95,-1.87,-1.5,0.56,-1.87,-1.5,0.56
1007,1664298094159,29.54,889.56,119.07,146.34,1.0,0.0,0.77,-0.36,8.3,8.34,2.94,1.37,1.25,2.94,1.37,1.25
1008,1664298094442,29.54,889.59,118.78,146.34,1.0,0.0,2.61,-0.26,10.96,11.27,1.12,3.31,-2.0,1.12,3.31,-2.0
1009,1664298094730,29.54,889.65,118.22,146.34,1.0,0.0,0.0,0.22,10.01,10.01,5.56,3.62,2.31,5.56,3.62,2.31
1010,1664298095015,29.54,889.69,117.84,146.34,1.0,0.0,2.56,0.17,10.34,10.65,-0.37,-1.81,-1.19,-0.37,-1.81,-1.19
1011,1664298095293,29.54,889.74,117.37,146.34,1.0,0.0,0.56,-1.27,8.29,8.41,-3.37,2.06,2.87,4.44,-2.19,-1.56
1012,1664298095576,29.54,889.81,116.7,146.34,1.0,0.0,2.09,-1.08,8.87,9.18,3.19,-2.25,-1.62,3.19,-2.25,-1.62
1013,1664298095867,29.54,889.9,115.85,146.34,1.0,0.0,-0.07,0.62,7.67,7.7,-2.12,-2.75,1.12,-2.12,-2.75,1.12
1014,1664298096161,29.54,889.88,116.04,146.34,1.0,0.0,-0.41,1.14,8.07,8.16,4.44,0.56,-4.12,-1.87,1.81,2.56
1015,1664298096442,29.54,889.95,115.38,146.34,1.0,0.0,1.07,0.13,9.98,10.04,-4.0,6.12,-0.25,-4.0,6.12,-0.25
1016,1664298096715,29.54,889.9,115.85,146.34,1.0,0.0,1.84,-0.88,8.39,8.63,4.06,-3.75,1.19,4.06,-3.75,1.19
1017,1664298096997,29.54,890.01,114.81,146.34,1.0,0.0,2.37,0.53,11.52,11.77,-2.25,-2.37,2.62,-2.25,-2.37,2.62
1018,1664298097294,29.54,890.07,114.25,146.34,1.0,0.0,1.67,-0.09,9.03,9.18,-5.44,12.81,-1.94,-2.69,7.12,-0.19
1019,1664298097568,29.53,890.11,113.87,146.34,1.0,0.0,2.22,0.07,11.03,11.25,0.06,1.62,1.81,0.06,1.62,1.81
1020,1664298097846,29.53,890.17,113.3,146.34,1.0,0.0,1.29,-0.22,9.07,9.16,1.12,1.81,-0.31,1.12,1.81,-0.31
1021,1664298098117,29.54,890.21,112.92,146.34,1.0,0.0,1.23,0.73,8.84,8.95,1.94,3.0,1.31,1.94,3.0,1.31
1022,1664298098402,29.54,890.17,113.3,146.34,1.0,0.0,1.4,0.59,7.62,7.77,-4.87,4.94,1.81,-4.87,4.94,1.81
1023,1664298098688,29.54,890.23,112.73,146.34,1.0,0.0,1.68,-0.12,9.63,9.78,1.94,-8.69,0.5,1.94,-8.69,0.5
1024,1664298098966,29.53,890.36,111.51,146.34,1.0,0.0,1.23,1.06,9.78,9.91,-4.81,-7.12,4.25,-4.81,-7.12,4.25
1025,1664298099244,29.53,890.41,111.03,146.34,1.0,0.0,1.46,0.0,9.31,9.42,0.94,12.31,-0.31,0.94,12.31,-0.31
1026,1664298099518,29.54,890.4,111.13,146.34,1.0,0.0,2.31,-0.98,10.07,10.38,1.12,7.94,1.81,6.56,6.31,-2.56
1027,1664298099809,29.54,890.45,110.65,146.34,1.0,0.0,2.13,-0.94,9.56,9.84,-4.56,5.75,2.69,-4.56,5.75,2.69
1028,1664298100089,29.54,890.48,110.37,146.34,1.0,0.0,1.9,-0.27,9.01,9.21,-3.0,-7.44,-0.31,-3.0,-7.44,-0.31
1029,1664298100369,29.54,890.56,109.61,146.34,1.0,0.0,1.42,-0.19,9.6,9.71,-0.5,2.62,-2.25,-0.5,2.62,-2.25
1030,1664298100645,29.54,890.66,108.67,146.34,1.0,0.0,1.12,-0.48,7.44,7.54,-4.44,2.62,1.31,-4.44,2.62,1.31
1031,1664298100959,29.54,890.71,108.2,146.34,1.0,0.0,1.68,-0.65,8.38,8.57,-2.87,10.38,-1.44,-2.87,10.38,-1.44
1032,1664298101238,29.53,890.8,107.35,146.34,1.0,0.0,1.79,-0.01,9.89,10.05,-1.81,-6.81,4.5,-1.81,-6.81,4.5
1033,1664298101515,29.54,890.79,107.44,146.34,1.0,0.0,1.63,0.58,10.5,10.64,0.06,-9.63,0.44,0.06,-9.63,0.44
1034,1664298101797,29.54,890.85,106.88,146.34,1.0,0.0,1.01,-0.79,9.21,9.3,2.56,-10.31,-0.5,-0.69,-9.56,-0.94
1035,1664298102072,29.54,890.86,106.78,146.34,1.0,0.0,2.11,0.33,9.8,10.03,4.0,-2.0,3.56,2.75,-4.31,0.37
1036,1664298102365,29.54,890.9,106.4,146.34,1.0,0.0,0.72,-0.19,7.8,7.84,-6.75,10.25,-2.0,-6.75,10.25,-2.0
1037,1664298102651,29.54,890.93,106.12,146.34,1.0,0.0,3.13,0.1,10.3,10.77,-2.31,-13.31,4.31,-3.06,-11.56,2.25
1038,1664298102934,29.54,890.91,106.31,146.34,1.0,0.0,1.59,-0.78,9.76,9.92,-2.0,-6.56,-2.19,-2.0,-6.56,-2.19
1039,1664298103210,29.54,891.0,105.46,146.34,1.0,0.0,-0.02,-0.6,8.34,8.36,-8.69,7.75,3.94,-8.69,7.75,3.94
1040,1664298103498,29.54,891.03,105.17,146.34,1.0,0.0,1.54,-1.04,10.82,10.98,4.75,0.75,0.5,4.75,0.75,0.5
1041,1664298103782,29.53,890.95,105.93,146.34,1.0,0.0,0.9,0.19,7.07,7.13,2.62,0.62,-3.62,2.62,0.62,-3.62
1042,1664298104065,29.53,890.95,105.93,146.34,1.0,0.0,2.37,0.3,10.02,10.3,2.25,-16.12,0.75,2.25,-16.12,0.75
1043,1664298104339,29.53,890.96,105.84,146.34,1.0,0.0,2.03,0.02,9.52,9.73,-4.5,9.94,-2.44,-4.5,9.94,-2.44
1044,1664298104619,29.52,891.08,104.7,146.34,1.0,0.0,2.29,0.98,10.97,11.25,-1.0,9.44,-0.69,-1.69,4.25,-5.0
1045,1664298104921,29.53,891.09,104.61,146.34,1.0,0.0,1.6,-0.01,11.62,11.73,-10.63,17.69,-0.25,-10.63,17.69,-0.25
1046,1664298105204,29.53,891.16,103.95,146.34,1.0,0.0,1.86,0.48,10.52,10.69,2.75,-17.56,5.25,3.94,-15.19,0.69
1047,1664298105493,29.52,891.22,103.38,146.34,1.0,0.0,0.09,1.25,7.1,7.21,-1.19,-0.56,3.62,1.19,-1.5,0.25
1048,1664298105773,29.53,891.31,102.53,146.34,1.0,0.0,-0.28,1.57,10.02,10.15,7.81,6.56,-2.5,7.81,6.56,-2.5
1049,1664298106056,29.53,891.38,101.87,146.34,1.0,0.0,1.3,0.52,9.57,9.67,-2.75,4.25,-3.37,-2.75,4.25,-3.37
1050,1664298106346,29.53,891.38,101.87,146.34,1.0,0.0,3.19,-0.14,10.49,10.97,-1.44,-0.75,-1.37,-1.44,-0.75,-1.37
1051,1664298106628,29.53,891.47,101.02,146.34,1.0,0.0,0.86,-0.78,6.14,6.25,-8.31,-4.56,0.69,-8.31,-4.56,0.69
1052,1664298106901,29.53,891.44,101.3,146.34,1.0,0.0,2.51,-0.87,7.37,7.83,4.87,1.75,-1.87,4.87,1.75,-1.87
1053,1664298107180,29.53,891.46,101.11,146.34,1.0,0.0,0.59,-0.01,9.88,9.9,4.0,-3.44,1.87,4.19,-6.69,-0.31
1054,1664298107466,29.53,891.46,101.11,146.34,1.0,0.0,0.19,0.11,8.46,8.46,-6.69,6.19,-0.06,-6.69,6.19,-0.06
1055,1664298107746,29.53,891.5,100.74,146.34,1.0,0.0,0.3,0.74,6.9,6.95,-7.75,12.94,0.31,-7.75,12.94,0.31
1056,1664298108038,29.53,891.5,100.74,146.34,1.0,0.0,-0.63,0.27,8.98,9.01,6.37,-12.0,0.31,5.75,-12.5,-0.88
1057,1664298108317,29.53,891.63,99.51,146.34,1.0,0.0,1.36,1.17,8.78,8.96,-6.44,-0.69,-1.31,-6.44,-0.69,-1.31
1058,1664298108591,29.53,891.67,99.13,146.34,1.0,0.0,1.22,-0.52,8.67,8.77,-0.75,8.5,0.94,-0.75,8.5,0.94
1059,1664298108912,29.53,891.65,99.32,146.34,1.0,0.0,1.11,1.05,10.36,10.47,0.19,4.37,-2.75,0.19,4.37,-2.75
1060,1664298109189,29.53,891.66,99.23,146.34,1.0,0.0,0.93,-0.57,8.35,8.42,0.37,-6.37,2.0,0.37,-6.37,2.0
1061,1664298109463,29.53,891.67,99.13,146.34,1.0,0.0,1.26,0.99,10.18,10.31,0.25,5.12,0.0,0.25,5.12,0.0
1062,1664298109743,29.53,891.65,99.32,146.34,1.0,0.0,2.35,-0.49,9.59,9.89,3.0,-5.69,-2.37,2.69,0.37,1.81
1063,1664298110031,29.53,891.69,98.94,146.34,1.0,0.0,0.22,0.76,9.8,9.83,1.19,-0.31,-2.37,1.19,-0.31,-2.37
1064,1664298110323,29.53,891.76,98.28,146.34,1.0,0.0,-0.14,0.01,7.27,7.27,-2.69,-1.56,0.81,-2.69,-1.56,0.81
1065,1664298110601,29.52,891.81,97.81,146.34,1.0,0.0,1.03,0.55,7.8,7.89,-5.87,4.81,0.56,-3.0,4.69,1.87
1066,1664298110879,29.52,891.88,97.15,146.34,1.0,0.0,1.78,-0.11,10.09,10.25,0.5,1.69,4.44,0.5,1.69,4.44
1067,1664298111154,29.52,891.93,96.68,146.34,1.0,0.0,2.91,-0.59,9.91,10.35,2.19,-1.25,2.0,2.19,-1.25,2.0
1068,1664298111444,29.52,891.99,96.11,146.34,1.0,0.0,2.05,-0.41,8.66,8.91,-5.94,9.13,0.62,-5.94,9.13,0.62
1069,1664298111719,29.52,891.99,96.11,146.34,1.0,0.0,0.91,0.09,9.58,9.62,0.81,4.06,-1.62,0.81,4.06,-1.62
1070,1664298112002,29.52,892.03,95.73,146.34,1.0,0.0,1.76,-0.02,12.12,12.25,5.19,-1.69,-1.94,5.19,-1.69,-1.94
1071,1664298112282,29.52,892.09,95.17,146.34,1.0,0.0,-0.08,-0.05,7.63,7.63,3.87,-4.44,-1.56,3.87,-4.44,-1.56
1072,1664298112567,29.52,892.12,94.88,146.34,1.0,0.0,1.78,-0.52,10.44,10.6,1.37,-0.44,3.56,1.37,-0.44,3.56
1073,1664298112858,29.52,892.17,94.41,146.34,1.0,0.0,2.63,-0.45,9.88,10.23,1.12,6.0,-2.06,-3.0,3.62,-0.25
1074,1664298113133,29.52,892.2,94.13,146.34,1.0,0.0,1.7,-0.07,9.69,9.84,3.87,-8.31,0.37,3.87,-8.31,0.37
1075,1664298113414,29.52,892.23,93.85,146.34,1.0,0.0,0.28,0.79,9.74,9.78,-1.62,-1.44,-1.56,-1.62,-1.44,-1.56
1076,1664298113690,29.53,892.24,93.75,146.34,1.0,0.0,0.99,1.03,9.58,9.69,-2.19,3.0,3.44,-2.19,3.0,3.44
1077,1664298113977,29.53,892.27,93.47,146.34,1.0,0.0,0.9,0.37,8.62,8.67,-4.69,4.5,0.62,-2.75,3.62,1.75
1078,1664298114264,29.52,892.38,92.43,146.34,1.0,0.0,2.66,0.44,12.34,12.63,6.44,-9.63,-1.25,11.25,-6.75,-0.37
1079,1664298114534,29.53,892.47,91.58,146.34,1.0,0.0,3.25,0.25,9.82,10.35,5.19,-0.25,-3.19,5.19,-0.25,-3.19
1080,1664298114829,29.52,892.52,91.11,146.34,1.0,0.0,0.21,1.11,7.26,7.35,-1.81,0.81,1.31,-1.81,0.81,1.31
1081,1664298115112,29.52,892.58,90.54,146.34,1.0,0.0,1.65,1.56,10.81,11.05,1.12,-4.0,-0.31,1.12,-4.0,-0.31
1082,1664298115398,29.52,892.62,90.17,146.34,1.0,0.0,0.6,1.09,7.68,7.78,-0.25,6.0,0.37,-0.25,6.0,0.37
1083,1664298115674,29.52,892.63,90.07,146.34,1.0,0.0,1.8,-0.54,9.42,9.61,-0.69,7.12,-2.5,-0.69,7.12,-2.5
1084,1664298115951,29.52,892.61,90.26,146.34,1.0,0.0,1.4,-0.64,7.6,7.75,2.75,-0.62,0.81,4.81,-3.0,-1.19
1085,1664298116232,29.52,892.73,89.13,146.34,1.0,0.0,1.79,-0.78,8.95,9.16,-5.19,-2.25,-0.44,-5.19,-2.25,-0.44
1086,1664298116520,29.52,892.78,88.66,146.34,1.0,0.0,2.12,-0.86,7.97,8.29,0.19,6.62,-1.37,0.19,6.62,-1.37
1087,1664298116796,29.52,892.88,87.72,146.34,1.0,0.0,1.68,-1.25,7.22,7.52,-1.06,2.06,-1.56,-1.06,2.06,-1.56
1088,1664298117088,29.52,892.9,87.53,146.34,1.0,0.0,1.46,-0.17,10.53,10.63,-1.0,-1.12,1.31,-1.0,-1.12,1.31
1089,1664298117365,29.53,892.89,87.62,146.34,1.0,0.0,0.46,0.19,7.17,7.19,-2.0,-1.19,1.25,-2.0,-1.19,1.25
1090,1664298117639,29.53,892.96,86.96,146.34,1.0,0.0,-0.1,-0.83,5.71,5.77,-3.62,5.31,1.5,-3.62,5.31,1.5
1091,1664298117925,29.53,893.03,86.3,146.34,1.0,0.0,2.87,-1.13,10.38,10.83,0.56,-1.69,3.06,0.56,-1.69,3.06
1092,1664298118204,29.53,893.05,86.11,146.34,1.0,0.0,0.98,-0.33,10.17,10.22,0.56,1.37,0.75,0.62,1.75,-1.06
1093,1664298118475,29.53,893.11,85.55,146.34,1.0,0.0,2.88,0.76,10.16,10.59,1.44,1.19,1.69,1.44,1.19,1.69
1094,1664298118756,29.53,893.11,85.55,146.34,1.0,0.0,2.53,-1.19,9.25,9.66,-1.44,1.12,2.44,-1.44,1.12,2.44
1095,1664298119031,29.53,893.22,84.51,146.34,1.0,0.0,2.42,-0.06,9.51,9.81,2.31,-4.25,2.94,2.31,-4.25,2.94
1096,1664298119316,29.53,893.29,83.85,146.34,1.0,0.0,0.9,-0.18,9.4,9.44,0.31,0.19,0.37,0.31,0.19,0.37
1097,1664298119600,29.53,893.33,83.47,146.34,1.0,0.0,0.42,0.71,9.53,9.57,-0.75,1.87,0.0,-0.75,1.87,0.0
1098,1664298119881,29.53,893.36,83.19,146.34,1.0,0.0,1.08,0.86,8.59,8.7,-0.19,0.44,0.0,-0.19,0.44,0.0
1099,1664298120155,29.54,893.44,82.44,146.34,1.0,0.0,3.26,-0.07,8.49,9.09,0.06,-2.31,-1.87,0.06,-2.31,-1.87
1100,1664298120448,29.54,893.46,82.25,146.34,1.0,0.0,1.13,-0.05,9.87,9.93,-0.25,0.75,2.25,-1.69,3.44,-1.5
1101,1664298120729,29.54,893.53,81.59,146.34,1.0,0.0,4.13,-0.14,10.43,11.22,3.56,-0.94,-0.06,3.56,-0.94,-0.06
1102,1664298121007,29.54,893.55,81.4,146.34,1.0,0.0,1.67,1.44,10.63,10.86,3.81,-2.37,1.87,0.37,3.69,-1.87
1103,1664298121285,29.54,893.65,80.46,146.34,1.0,0.0,1.28,-0.09,10.02,10.1,0.5,-1.12,-0.25,0.5,-1.12,-0.25
1104,1664298121563,29.55,893.64,80.55,146.34,1.0,0.0,0.88,1.41,11.19,11.31,1.37,0.88,0.31,1.37,0.88,0.31
1105,1664298121865,29.54,893.67,80.27,146.34,1.0,0.0,1.53,-1.13,10.23,10.41,1.0,-5.12,-2.87,-1.75,-1.44,2.75
1106,1664298122134,29.54,893.7,79.99,146.34,1.0,0.0,1.34,-1.11,9.47,9.63,1.44,0.81,0.0,1.44,0.81,0.0
1107,1664298122411,29.54,893.77,79.33,146.34,1.0,0.0,1.65,-0.45,9.73,9.88,0.06,-0.94,0.81,0.06,-0.94,0.81
1108,1664298122684,29.54,893.84,78.67,146.34,1.0,0.0,0.6,-0.48,6.34,6.39,4.81,0.94,-1.94,4.81,0.94,-1.94
1109,1664298122976,29.54,893.89,78.2,146.34,1.0,0.0,2.1,0.16,9.08,9.32,-1.0,-1.19,2.62,-1.0,-1.19,2.62
1110,1664298123259,29.54,893.91,78.01,146.34,1.0,0.0,2.53,0.01,9.97,10.29,-2.5,-0.25,-0.37,-2.5,-0.25,-0.37
1111,1664298123539,29.54,893.97,77.44,146.34,1.0,0.0,2.14,-1.19,7.85,8.22,-3.75,-0.13,-1.06,-3.75,-0.13,-1.06
1112,1664298123814,29.53,894.03,76.88,146.34,1.0,0.0,-0.12,0.97,6.71,6.78,-2.87,10.0,1.69,-2.87,10.0,1.69
1113,1664298124112,29.54,894.06,76.59,146.34,1.0,0.0,1.18,1.07,10.98,11.09,4.12,-1.06,-3.37,-3.69,-0.56,1.75
1114,1664298124396,29.53,894.14,75.84,146.34,1.0,0.0,-0.02,0.83,9.55,9.59,6.81,-2.31,-1.31,6.81,-2.31,-1.31
1115,1664298124674,29.53,894.18,75.46,146.34,1.0,0.0,1.26,0.0,8.79,8.88,0.31,-0.44,-1.0,0.31,-0.44,-1.0
1116,1664298124952,29.53,894.23,74.99,146.34,1.0,0.0,2.04,1.18,12.73,12.95,4.37,-4.0,-2.06,4.37,-4.0,-2.06
1117,1664298125229,29.53,894.27,74.62,146.34,1.0,0.0,2.47,-0.22,8.63,8.98,-2.19,-1.62,1.25,1.37,-6.69,-1.94
