{54,20,51,20,30.83,901.80,0.36,0.73,1.56,0,0,2.00,-0.57,9.55,9.77,0.00,-0.06,0.00,0.00,-0.06,0.00}
{55,20,51,20,30.83,901.78,0.54,0.73,1.72,0,0,2.00,-0.61,9.55,9.78,0.00,-0.06,0.06,0.00,-0.06,0.06}
{56,20,50,20,30.83,901.80,0.36,0.73,1.69,0,0,1.99,-0.58,9.56,9.78,0.00,-0.06,-0.06,0.00,-0.06,-0.06}
{57,20,50,20,30.83,901.80,0.36,0.73,1.69,0,0,1.98,-0.57,9.55,9.77,0.00,0.13,-0.13,0.00,0.13,-0.13}
{58,20,59,20,30.83,901.80,0.36,0.73,1.63,0,0,2.00,-0.59,9.55,9.77,0.06,0.19,-0.13,0.06,0.19,-0.13}
{59,20,51,21,30.83,901.81,0.26,0.73,1.59,0,0,1.99,-0.58,9.54,9.76,0.13,0.25,0.00,0.13,0.25,0.00}
{60,21,51,21,30.84,901.81,0.26,0.73,1.56,0,0,1.98,-0.59,9.56,9.78,0.00,0.19,-0.06,0.00,0.19,-0.06}
{61,21,50,21,30.84,901.81,0.26,0.73,1.53,0,0,1.98,-0.59,9.55,9.77,0.00,0.06,-0.13,0.00,0.06,-0.13}
{62,21,50,21,30.84,901.79,0.45,0.73,1.59,0,0,1.99,-0.58,9.55,9.77,0.19,-0.06,-0.06,0.19,-0.06,-0.06}
{63,21,58,21,30.84,901.81,0.26,0.73,1.59,0,0,1.99,-0.60,9.55,9.77,0.13,-0.06,-0.13,0.13,-0.06,-0.13}
{64,21,51,21,30.84,901.81,0.26,0.73,1.59,0,0,1.99,-0.57,9.53,9.75,0.06,-0.13,0.06,0.06,-0.13,0.06}
{65,21,51,21,30.84,901.80,0.36,0.73,1.56,0,0,1.99,-0.60,9.56,9.78,0.06,-0.13,0.06,0.06,-0.13,0.06}
{66,21,50,21,30.84,901.80,0.36,0.73,1.59,0,0,2.00,-0.61,9.57,9.80,0.00,0.06,0.06,0.00,0.06,0.06}
{67,21,50,21,30.83,901.81,0.26,0.73,1.59,0,0,2.01,-0.58,9.55,9.78,-0.06,0.00,0.06,-0.06,0.00,0.06}
{68,21,69,21,30.82,901.81,0.26,0.73,1.56,0,0,2.01,-0.58,9.55,9.78,-0.19,-0.06,0.00,0.00,0.06,-0.06}
{69,21,67,21,30.83,901.78,0.54,0.73,1.63,0,0,1.97,-0.60,9.54,9.76,-0.06,0.06,0.00,-0.06,0.06,0.00}
{70,21,53,21,30.83,901.82,0.17,0.73,1.59,0,0,1.98,-0.61,9.54,9.76,-0.06,0.13,0.19,-0.06,0.13,0.19}
{71,21,51,21,30.84,901.79,0.45,0.73,1.66,0,0,1.98,-0.58,9.56,9.78,0.06,0.06,0.00,0.06,0.06,0.00}
{72,21,51,21,30.81,901.81,0.26,0.73,1.56,0,0,1.97,-0.60,9.53,9.75,-0.13,0.13,0.06,-0.13,0.13,0.06}
{73,21,88,21,30.82,901.80,0.36,0.73,1.63,0,0,2.00,-0.59,9.55,9.77,0.13,-0.13,0.13,0.13,-0.13,0.13}
{74,21,51,21,30.83,901.82,0.17,0.73,1.53,0,0,2.01,-0.58,9.53,9.76,-0.06,0.19,-0.06,-0.06,0.19,-0.06}
{75,21,50,21,30.83,901.81,0.26,0.73,1.53,0,0,1.98,-0.57,9.56,9.78,0.06,0.06,0.13,0.06,0.06,0.13}
{76,21,51,21,30.84,901.81,0.26,0.73,1.50,0,0,1.97,-0.59,9.55,9.77,0.00,-0.06,0.13,0.00,-0.06,0.13}
{77,21,50,22,30.83,901.80,0.36,0.73,1.56,0,0,1.98,-0.59,9.54,9.76,0.00,-0.06,0.00,0.00,-0.06,0.00}
{78,22,58,22,30.84,901.80,0.36,0.73,1.59,0,0,1.99,-0.57,9.56,9.78,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{79,22,51,22,30.84,901.80,0.36,0.73,1.63,0,0,2.00,-0.60,9.53,9.76,0.00,-0.13,-0.19,0.00,-0.13,-0.19}
{80,22,51,22,30.84,901.80,0.36,0.73,1.63,0,0,2.01,-0.57,9.55,9.78,-0.13,-0.13,0.19,-0.13,-0.13,0.19}
{81,22,51,22,30.84,901.80,0.36,0.73,1.63,0,0,1.99,-0.61,9.53,9.75,0.06,0.00,0.13,0.06,0.00,0.13}
{82,22,50,22,30.84,901.81,0.26,0.73,1.59,0,0,2.00,-0.58,9.56,9.78,-0.13,-0.13,0.00,-0.13,-0.13,0.00}
{83,22,58,22,30.84,901.79,0.45,0.73,1.63,0,0,2.00,-0.61,9.57,9.80,0.00,0.00,0.00,0.00,0.00,0.00}
{84,22,63,22,30.83,901.79,0.45,0.73,1.66,0,0,1.99,-0.57,9.54,9.76,0.00,0.00,0.00,0.00,0.00,0.00}
{85,22,67,22,30.83,901.80,0.36,0.73,1.69,0,0,2.01,-0.58,9.55,9.78,0.06,-0.06,0.06,0.06,-0.06,0.06}
{86,22,51,22,30.84,901.80,0.36,0.73,1.66,0,0,1.97,-0.59,9.54,9.76,0.06,0.00,0.00,0.06,0.00,0.00}
{87,22,50,22,30.84,901.78,0.54,0.73,1.69,0,0,2.01,-0.57,9.53,9.76,0.13,0.00,0.00,0.13,0.00,0.00}
{88,22,50,22,30.85,901.79,0.45,0.73,1.72,0,0,1.99,-0.60,9.53,9.75,-0.13,-0.13,-0.06,-0.13,-0.13,-0.06}
{89,22,46,22,30.85,901.80,0.36,0.73,1.72,0,0,2.00,-0.58,9.52,9.75,0.06,0.00,-0.13,0.13,0.00,0.13}
{90,22,52,22,30.85,901.80,0.36,0.73,1.66,0,0,1.99,-0.60,9.54,9.76,0.06,0.06,-0.06,0.06,0.06,-0.06}
{91,22,52,22,30.85,901.78,0.54,0.73,1.69,0,0,2.00,-0.58,9.55,9.77,0.00,0.00,0.00,0.00,0.00,0.00}
{92,22,51,22,30.85,901.79,0.45,0.73,1.72,0,0,2.00,-0.58,9.54,9.76,0.06,0.00,0.00,0.06,0.00,0.00}
{93,22,50,22,30.85,901.77,0.64,0.73,1.81,0,0,1.98,-0.58,9.55,9.77,0.06,-0.06,0.13,0.06,-0.06,0.13}
{94,22,58,22,30.85,901.80,0.36,0.73,1.75,0,0,1.99,-0.60,9.56,9.78,-0.06,-0.06,0.00,-0.06,-0.06,0.00}
{95,22,51,22,30.85,901.80,0.36,0.73,1.72,0,0,2.00,-0.60,9.53,9.76,0.00,-0.13,0.13,0.00,-0.13,0.13}
{96,22,51,23,30.85,901.81,0.26,0.73,1.59,0,0,1.97,-0.58,9.54,9.76,-0.06,-0.19,0.06,-0.06,-0.19,0.06}
{97,23,50,23,30.86,901.80,0.36,0.73,1.59,0,0,1.98,-0.59,9.56,9.78,0.13,-0.06,0.00,0.13,-0.06,0.00}
{98,23,50,23,30.85,901.78,0.54,0.73,1.66,0,0,1.97,-0.61,9.58,9.80,0.00,0.13,0.00,0.00,0.13,0.00}
{99,23,59,23,30.85,901.79,0.45,0.73,1.72,0,0,1.99,-0.59,9.55,9.77,-0.13,0.00,-0.06,-0.13,0.00,-0.06}
{100,23,51,23,30.85,901.79,0.45,0.73,1.75,0,0,1.99,-0.58,9.55,9.77,0.06,-0.06,0.00,0.06,-0.06,0.00}
{101,23,62,23,30.84,901.80,0.36,0.73,1.69,0,0,1.99,-0.59,9.55,9.77,0.06,0.00,0.06,0.06,0.00,0.06}
{102,23,68,23,30.84,901.79,0.45,0.73,1.69,0,0,1.99,-0.58,9.55,9.77,0.13,-0.19,0.06,0.13,-0.19,0.06}
{103,23,51,23,30.84,901.80,0.36,0.73,1.66,0,0,2.00,-0.59,9.57,9.79,0.06,0.06,-0.06,0.06,0.06,-0.06}
{104,23,58,23,30.84,901.78,0.54,0.73,1.72,0,0,2.00,-0.61,9.57,9.80,0.00,0.31,-0.19,0.00,0.31,-0.19}
{105,23,51,23,30.84,901.79,0.45,0.73,1.72,0,0,1.99,-0.58,9.54,9.76,0.06,0.06,-0.06,0.06,0.06,-0.06}
{106,23,51,23,30.85,901.79,0.45,0.73,1.75,0,0,1.99,-0.59,9.57,9.79,0.00,0.19,-0.19,0.00,0.19,-0.19}
{107,23,50,23,30.85,901.78,0.54,0.73,1.75,0,0,2.00,-0.57,9.54,9.76,0.06,-0.13,-0.13,0.06,-0.13,-0.13}
{108,23,50,23,30.85,901.81,0.26,0.73,1.69,0,0,1.97,-0.58,9.55,9.77,-0.06,-0.06,0.00,-0.06,-0.06,0.00}
{109,23,59,23,30.85,901.81,0.26,0.73,1.63,0,0,2.00,-0.59,9.57,9.79,0.06,0.13,-0.06,0.06,0.13,-0.06}
{110,23,51,23,30.85,901.80,0.36,0.73,1.56,0,0,1.99,-0.61,9.56,9.78,0.13,-0.06,0.13,0.13,-0.06,0.13}
{111,23,50,23,30.85,901.78,0.54,0.73,1.66,0,0,2.00,-0.61,9.56,9.79,0.06,-0.13,0.00,0.06,-0.13,0.00}
{112,23,50,23,30.86,901.81,0.26,0.73,1.66,0,0,2.00,-0.61,9.53,9.76,0.06,0.06,-0.06,0.06,0.06,-0.06}
{113,23,50,23,30.85,901.80,0.36,0.73,1.66,0,0,1.99,-0.58,9.58,9.80,-0.06,0.06,0.00,-0.06,0.06,0.00}
{114,23,59,23,30.86,901.77,0.64,0.73,1.69,0,0,1.99,-0.59,9.54,9.76,-0.06,0.13,-0.13,-0.06,0.13,-0.13}
{115,23,51,24,30.86,901.78,0.54,0.73,1.78,0,0,2.01,-0.58,9.54,9.77,0.00,0.25,-0.06,0.00,0.25,-0.06}
{116,24,50,24,30.86,901.77,0.64,0.73,1.88,0,0,2.00,-0.60,9.57,9.80,0.00,0.13,-0.06,0.00,0.13,-0.06}
{117,24,50,24,30.85,901.79,0.45,0.73,1.81,0,0,1.98,-0.58,9.56,9.78,-0.06,0.06,0.00,-0.06,0.06,0.00}
{118,24,62,24,30.84,901.80,0.36,0.73,1.75,0,0,1.97,-0.58,9.57,9.79,-0.13,0.06,-0.13,-0.13,0.06,-0.13}
{119,24,75,24,30.84,901.81,0.26,0.73,1.63,0,0,1.99,-0.59,9.54,9.76,0.00,0.06,0.00,0.06,0.00,0.00}
{120,24,51,24,30.85,901.81,0.26,0.73,1.56,0,0,2.00,-0.58,9.57,9.79,-0.13,0.00,0.13,-0.13,0.00,0.13}
{121,24,52,24,30.85,901.80,0.36,0.73,1.56,0,0,1.99,-0.59,9.58,9.80,0.00,0.00,0.06,0.00,0.00,0.06}
{122,24,51,24,30.85,901.79,0.45,0.73,1.63,0,0,1.97,-0.58,9.54,9.76,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{123,24,50,24,30.85,901.78,0.54,0.73,1.72,0,0,2.00,-0.58,9.53,9.75,0.00,0.00,0.00,0.00,0.00,0.00}
{124,24,58,24,30.85,901.81,0.26,0.73,1.69,0,0,1.98,-0.58,9.57,9.79,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{125,24,51,24,30.86,901.81,0.26,0.73,1.63,0,0,2.00,-0.59,9.56,9.78,0.13,-0.13,-0.13,0.13,-0.13,-0.13}
{126,24,51,24,30.86,901.78,0.54,0.73,1.63,0,0,1.99,-0.58,9.56,9.78,0.06,0.00,0.00,0.06,0.00,0.00}
{127,24,50,24,30.86,901.81,0.26,0.73,1.63,0,0,1.98,-0.61,9.56,9.78,-0.06,0.13,-0.06,-0.06,0.13,-0.06}
{128,24,50,24,30.85,901.76,0.73,0.73,1.78,0,0,1.98,-0.57,9.53,9.75,0.00,0.00,-0.06,0.00,0.00,-0.06}
{129,24,71,24,30.85,901.80,0.36,0.73,1.72,0,0,1.98,-0.58,9.54,9.76,0.00,-0.06,0.00,0.00,-0.06,0.00}
{130,24,50,24,30.85,901.80,0.36,0.73,1.75,0,0,1.98,-0.59,9.51,9.73,0.13,0.19,0.06,0.13,0.19,0.06}
{131,24,50,24,30.86,901.78,0.54,0.73,1.69,0,0,1.98,-0.61,9.53,9.75,0.06,-0.19,0.13,0.06,-0.19,0.13}
{132,24,50,24,30.86,901.78,0.54,0.73,1.75,0,0,2.00,-0.57,9.51,9.73,0.13,0.13,-0.06,0.13,0.13,-0.06}
{133,24,50,25,30.85,901.78,0.54,0.73,1.81,0,0,1.97,-0.58,9.56,9.78,-0.06,-0.06,0.06,-0.06,-0.06,0.06}
{134,25,69,25,30.83,901.80,0.36,0.73,1.75,0,0,2.01,-0.59,9.55,9.78,0.00,0.06,0.00,0.00,0.06,0.00}
{135,25,84,25,30.84,901.79,0.45,0.73,1.72,0,0,1.99,-0.58,9.54,9.76,0.00,-0.06,0.06,0.00,-0.06,0.06}
{136,25,52,25,30.84,901.79,0.45,0.73,1.69,0,0,2.00,-0.60,9.52,9.75,0.13,0.25,0.00,0.13,0.25,0.00}
{137,25,53,25,30.85,901.79,0.45,0.73,1.72,0,0,2.01,-0.57,9.54,9.77,0.00,0.00,0.00,0.00,0.00,0.00}
{138,25,52,25,30.85,901.81,0.26,0.73,1.66,0,0,1.98,-0.59,9.51,9.73,-0.13,0.06,0.13,-0.13,0.06,0.13}
{139,25,59,25,30.85,901.81,0.26,0.73,1.59,0,0,2.00,-0.57,9.57,9.79,-0.06,-0.31,0.19,-0.06,-0.31,0.19}
{140,25,51,25,30.85,901.80,0.36,0.73,1.56,0,0,1.99,-0.58,9.54,9.76,-0.13,0.13,-0.06,-0.13,0.13,-0.06}
{141,25,50,25,30.86,901.79,0.45,0.73,1.63,0,0,2.01,-0.58,9.55,9.78,0.00,0.13,-0.06,0.00,0.13,-0.06}
{142,25,50,25,30.86,901.82,0.17,0.73,1.59,0,0,1.96,-0.60,9.53,9.75,-0.13,0.00,0.00,-0.13,0.00,0.00}
{143,25,51,25,30.86,901.79,0.45,0.73,1.63,0,0,2.01,-0.58,9.54,9.77,-0.06,0.19,-0.06,-0.06,0.19,-0.06}
{144,25,58,25,30.86,901.77,0.64,0.73,1.69,0,0,1.98,-0.61,9.55,9.77,-0.06,-0.06,0.06,-0.06,-0.06,0.06}
{145,25,51,25,30.86,901.80,0.36,0.73,1.75,0,0,1.97,-0.56,9.56,9.78,0.00,-0.13,0.00,0.00,-0.13,0.00}
{146,25,51,25,30.86,901.80,0.36,0.73,1.72,0,0,1.99,-0.59,9.53,9.75,-0.06,0.00,0.06,-0.06,0.00,0.06}
{147,25,50,25,30.87,901.79,0.45,0.73,1.66,0,0,1.99,-0.58,9.55,9.77,0.00,-0.19,0.00,0.00,-0.19,0.00}
{148,25,50,25,30.84,901.78,0.54,0.73,1.72,0,0,1.98,-0.58,9.56,9.78,-0.13,0.13,-0.06,-0.13,0.13,-0.06}
{149,25,90,25,30.84,901.80,0.36,0.73,1.72,0,0,1.99,-0.61,9.58,9.80,0.06,0.19,-0.06,0.06,0.19,-0.06}
