{79,35,221,3529.48,902.30,0.67,0.86,1.69,0,0,1.96,0.09,9.58,9.78,-0.06,-0.19,0.13,0.00,-0.06,-0.06}
{80,35,219,3629.48,902.33,0.39,0.86,1.66,0,0,1.95,0.07,9.57,9.77,0.13,0.00,0.00,0.00,0.06,-0.13}
{81,36,219,3629.48,902.31,0.58,0.86,1.69,0,0,1.96,0.08,9.56,9.76,-0.06,0.25,-0.13,-0.06,0.25,-0.13}
{82,36,215,3629.48,902.33,0.39,0.86,1.59,0,0,1.95,0.08,9.59,9.79,0.00,0.06,-0.13,0.00,0.06,-0.13}
{83,36,218,3629.48,902.32,0.49,0.86,1.63,0,0,1.95,0.10,9.55,9.75,-0.06,0.00,0.00,0.06,0.00,0.06}
{84,36,238,3629.48,902.31,0.58,0.86,1.63,0,0,1.97,0.09,9.56,9.76,0.06,-0.06,-0.06,0.06,-0.06,-0.06}
{85,36,215,3729.48,902.32,0.49,0.86,1.66,0,0,1.95,0.09,9.56,9.76,0.00,0.06,-0.06,0.00,0.06,-0.06}
{86,37,218,3729.48,902.32,0.49,0.86,1.66,0,0,1.98,0.07,9.56,9.76,0.13,-0.06,0.00,0.13,-0.13,-0.06}
{87,37,219,3729.47,902.28,0.86,0.86,1.75,0,0,1.97,0.10,9.57,9.77,0.00,0.06,-0.06,-0.13,0.00,-0.13}
{88,37,220,3729.47,902.29,0.77,0.86,1.84,0,0,1.96,0.09,9.55,9.75,0.06,-0.19,0.19,0.06,-0.19,0.19}
{89,37,227,3829.47,902.29,0.77,0.86,1.94,0,0,1.96,0.08,9.59,9.79,0.06,0.13,0.00,0.06,0.13,0.00}
{90,38,221,3829.47,902.32,0.49,0.86,1.81,0,0,1.95,0.10,9.55,9.75,-0.06,0.00,0.00,-0.06,0.00,0.00}
{91,38,216,3829.47,902.30,0.67,0.86,1.78,0,0,1.96,0.07,9.55,9.75,-0.06,0.13,-0.06,-0.06,0.13,-0.06}
{92,38,235,3829.47,902.28,0.86,0.86,1.81,0,0,1.96,0.09,9.56,9.76,-0.06,0.06,0.06,-0.06,0.06,0.06}
{93,38,221,3829.47,902.32,0.49,0.86,1.81,0,0,1.95,0.08,9.56,9.76,0.13,-0.13,0.00,0.13,-0.13,0.00}
{94,38,221,3929.46,902.32,0.49,0.86,1.75,0,0,1.96,0.10,9.55,9.75,0.06,-0.06,-0.19,0.06,-0.06,-0.19}
{95,39,227,3929.46,902.30,0.67,0.86,1.69,0,0,1.96,0.10,9.56,9.76,0.00,-0.13,0.13,0.00,-0.13,0.13}
{96,39,219,3929.46,902.32,0.49,0.86,1.69,0,0,1.97,0.07,9.56,9.76,0.00,0.06,-0.13,0.00,0.06,-0.13}
{97,39,218,3929.46,902.31,0.58,0.86,1.72,0,0,1.95,0.09,9.55,9.75,0.06,-0.13,0.00,0.13,-0.19,-0.06}
{98,39,219,4029.46,902.31,0.58,0.86,1.69,0,0,1.97,0.09,9.58,9.78,0.06,-0.06,0.19,0.06,-0.06,0.19}
{99,40,219,4029.46,902.30,0.67,0.86,1.75,0,0,1.97,0.10,9.54,9.74,-0.13,0.00,-0.06,-0.13,0.00,-0.06}
{100,40,238,4029.45,902.29,0.77,0.86,1.81,0,0,1.98,0.10,9.54,9.74,0.00,-0.13,0.00,0.00,-0.13,0.00}
{101,40,221,4029.46,902.32,0.49,0.86,1.78,0,0,1.96,0.08,9.55,9.75,-0.13,-0.06,0.13,-0.13,-0.06,0.13}
{102,40,221,4029.46,902.33,0.39,0.86,1.69,0,0,1.96,0.09,9.57,9.77,-0.06,0.13,-0.06,-0.06,0.13,-0.06}
{103,40,226,4129.46,902.31,0.58,0.86,1.63,0,0,1.96,0.09,9.55,9.75,0.06,-0.06,-0.06,0.06,-0.06,-0.06}
{104,41,223,4129.46,902.33,0.39,0.86,1.59,0,0,1.97,0.09,9.55,9.75,-0.06,-0.13,-0.06,-0.13,-0.31,0.00}
{105,41,233,4129.46,902.32,0.49,0.86,1.63,0,0,1.97,0.08,9.55,9.75,-0.19,0.06,-0.19,-0.19,0.06,-0.19}
{106,41,225,4129.46,902.28,0.86,0.86,1.72,0,0,1.96,0.09,9.59,9.79,0.00,0.19,0.00,0.00,0.19,0.00}
{107,41,223,4229.46,902.30,0.67,0.86,1.81,0,0,1.96,0.09,9.55,9.75,0.06,-0.06,-0.06,0.06,-0.06,-0.06}
{108,42,216,4229.46,902.32,0.49,0.86,1.81,0,0,1.97,0.10,9.56,9.76,0.13,0.06,0.13,0.13,0.06,0.13}
{109,42,242,4229.46,902.30,0.67,0.86,1.75,0,0,1.97,0.09,9.56,9.76,-0.19,-0.19,0.13,-0.19,-0.19,0.13}
{110,42,220,4229.46,902.32,0.49,0.86,1.69,0,0,1.98,0.09,9.58,9.78,0.06,0.00,0.19,0.06,0.00,0.19}
{111,42,223,4229.46,902.32,0.49,0.86,1.69,0,0,1.96,0.09,9.57,9.77,-0.06,0.06,0.00,-0.06,0.06,0.00}
{112,42,215,4329.46,902.32,0.49,0.86,1.63,0,0,1.96,0.07,9.56,9.76,-0.13,0.00,-0.06,-0.13,0.00,-0.06}
{113,43,219,4329.45,902.30,0.67,0.86,1.69,0,0,1.97,0.09,9.59,9.79,-0.13,-0.19,0.00,-0.13,-0.19,0.00}
{114,43,225,4329.45,902.32,0.49,0.86,1.69,0,0,1.96,0.08,9.55,9.75,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{115,43,231,4329.46,902.30,0.67,0.86,1.75,0,0,1.97,0.10,9.55,9.75,0.13,-0.13,0.00,0.13,-0.13,0.00}
{116,43,223,4429.45,902.28,0.86,0.86,1.81,0,0,1.95,0.08,9.58,9.78,-0.06,0.00,0.06,-0.06,0.00,0.06}
{117,44,232,4429.45,902.28,0.86,0.86,1.94,0,0,1.95,0.09,9.60,9.80,0.00,0.06,-0.06,0.13,-0.06,0.00}
{118,44,220,4429.45,902.31,0.58,0.86,1.91,0,0,1.97,0.09,9.55,9.75,-0.06,0.00,0.06,-0.06,0.00,0.06}
{119,44,220,4429.45,902.30,0.67,0.86,1.84,0,0,1.97,0.05,9.57,9.77,-0.06,0.13,-0.13,-0.06,0.13,-0.13}
{120,44,228,4529.45,902.27,0.95,0.95,1.78,0,0,1.98,0.09,9.57,9.77,-0.06,0.13,0.00,-0.06,0.13,0.00}
{121,45,225,4529.45,902.31,0.58,0.95,1.78,0,0,1.97,0.09,9.58,9.78,0.06,0.13,0.00,-0.06,0.19,0.00}
{122,45,220,4529.45,902.32,0.49,0.95,1.72,0,0,1.96,0.09,9.56,9.76,-0.19,0.00,0.00,-0.06,-0.19,0.00}
{123,45,220,4529.45,902.30,0.67,0.95,1.63,0,0,1.97,0.09,9.57,9.77,-0.06,0.06,0.00,0.00,-0.06,-0.06}
{124,45,220,4529.44,902.28,0.86,0.95,1.72,0,0,1.96,0.09,9.56,9.76,0.06,-0.13,-0.06,0.06,-0.13,-0.06}
{125,45,245,4629.44,902.32,0.49,0.95,1.72,0,0,1.99,0.10,9.57,9.78,0.06,0.19,0.13,0.06,0.19,0.13}
